"cancer_type","mean_expr","sd_expr","sample_size"
"ACC",619006.35443038,498529.400887791,79
"BLCA",73383.3048498845,80051.2412444506,433
"BRCA",30043.3813694268,36680.5833464751,1256
"CESC",95031.8802588997,125044.651011364,309
"CHOL",64698.2222222222,106807.057251273,45
"COAD",7673.94322344322,22521.5389596389,546
"DLBC",5448.625,3526.75489816093,48
"ESCA",110717.601010101,120972.819826769,198
"GBM",65950.6285714286,84908.6354841193,175
"HNSC",72602.5656934307,63615.4557213107,548
"KICH",252119.934065934,393752.219618091,91
"KIRC",17382.6650485437,38602.4307550759,618
"KIRP",39293.7616099071,63380.8491864227,323
"LAML",346.404494382022,1249.37348112841,178
"LGG",170435.180451128,178279.082185122,532
"LIHC",19733.3136792453,83912.7086994834,424
"LUAD",19661.0199667221,23797.5060746485,601
"LUSC",65215.1261261261,69083.4734775295,555
"MESO",28796.7011494253,27676.8808651061,87
"OV",32441.111627907,65021.4788044145,430
"PAAD",43375.2841530055,55450.2195970257,183
"PCPG",263840.903743315,126961.302796295,187
"PRAD",13887.0573476703,12973.948378367,558
"READ",7201.33333333333,10033.7099595828,177
"SARC",30690.7698113208,45707.8133417133,265
"SKCM",44266.9217758985,58066.7372495974,473
"STAD",41908.2781456954,99209.4904842906,453
"TGCT",30945.2564102564,22009.5168031473,156
"THCA",32734.9160839161,34887.8562658997,572
"THYM",4902.55737704918,22411.6883304002,122
"UCEC",12561.701188455,21724.6257627055,589
"UCS",36772.6842105263,55986.1133595893,57
"UVM",98596.7875,45709.2667857789,80
