"tissue_type","sample_id","expression"
"Adipose - Subcutaneous","GTEX-S32W-2226-SM-2XCAY.1",168253.522116432
"Adipose - Subcutaneous","GTEX-WL46-0326-SM-3LK6Y.1",789129.74739135
"Adipose - Visceral (Omentum)","GTEX-144GM-0626-SM-79OKY.1",137418.168616566
"Adipose - Subcutaneous","GTEX-14AS3-2026-SM-5TDD9.1",433334.504444366
"Adipose - Subcutaneous","GTEX-14H4A-1026-SM-62LDY.1",111653.725889752
"Adipose - Visceral (Omentum)","GTEX-14JIY-1426-SM-6EU29.1",573598.472871212
"Adipose - Subcutaneous","GTEX-14PJ3-1926-SM-62LEY.1",190211.853985876
"Adipose - Visceral (Omentum)","GTEX-15CHQ-1126-SM-686YY.1",464404.080150839
"Adipose - Subcutaneous","GTEX-183FY-0326-SM-793BY.1",203585.941983159
"Adipose - Subcutaneous","GTEX-1AX9J-0326-SM-73KXY.1",280188.314654112
"Adipose - Visceral (Omentum)","GTEX-1B97J-1126-SM-7SB79.1",200576.186628254
"Adipose - Subcutaneous","GTEX-1BAJH-0426-SM-73KWY.1",182646.476712457
"Adipose - Visceral (Omentum)","GTEX-1C6VQ-1526-SM-73KU9.1",945648.736956751
"Adipose - Subcutaneous","GTEX-1E2YA-0226-SM-9MQLY.1",186792.209769408
"Adipose - Visceral (Omentum)","GTEX-1GZ4H-0926-SM-9WG6Y.1",706273.641803979
"Adipose - Visceral (Omentum)","GTEX-1HKZK-1726-SM-ADEJ9.1",514902.387895396
"Adipose - Subcutaneous","GTEX-1I19N-0426-SM-ACKVY.1",345442.621414936
"Adipose - Visceral (Omentum)","GTEX-1I1GR-1726-SM-COH39.1",479183.501387766
"Adipose - Subcutaneous","GTEX-1IL2U-0326-SM-CE6T9.1",264624.24902505
"Adipose - Subcutaneous","GTEX-1IOXB-0226-SM-CMKHY.1",260560.493740412
"Adipose - Subcutaneous","GTEX-1JJ6O-0226-SM-E6CI9.1",245546.850296876
"Adipose - Subcutaneous","GTEX-1JMLX-0126-SM-CMKG9.1",224619.096136505
"Adipose - Visceral (Omentum)","GTEX-1LSNL-1426-SM-E6CJ9.1",635515.113187881
"Adipose - Subcutaneous","GTEX-1LSVX-0126-SM-EVYCY.1",182260.010071555
"Adipose - Visceral (Omentum)","GTEX-1N2EE-1526-SM-DTXE9.1",397416.52906112
"Adipose - Subcutaneous","GTEX-1PPH8-0626-SM-EWRN9.1",189602.876248697
"Adipose - Subcutaneous","GTEX-P4PP-0226-SM-D4P1Z.1",719237.840939699
"Adipose - Subcutaneous","GTEX-XOT4-0226-SM-4B66Z.1",500521.144409701
"Adipose - Subcutaneous","GTEX-13SLW-0226-SM-5S2NA.1",330850.577943295
"Adipose - Visceral (Omentum)","GTEX-XBEW-1726-SM-4RGMA.1",257503.893944185
"Adipose - Subcutaneous","GTEX-11ZVC-2626-SM-5FQTA.1",255126.53854712
"Adipose - Subcutaneous","GTEX-139T8-0226-SM-5L3EA.1",371007.975266135
"Adipose - Visceral (Omentum)","GTEX-13CF3-1126-SM-5LZXB.1",233109.651126023
"Adipose - Subcutaneous","GTEX-13X6K-0226-SM-5QGPB.1",229748.562461207
"Adipose - Visceral (Omentum)","GTEX-ZUA1-2126-SM-57YRB.1",562039.606975137
"Adipose - Subcutaneous","GTEX-13SLX-0426-SM-5QGRC.1",108878.192741454
"Adipose - Subcutaneous","GTEX-ZVE2-0326-SM-57WFC.1",220543.629741536
"Adipose - Visceral (Omentum)","GTEX-139YR-0326-SM-5J1MC.1",440103.52621532
"Adipose - Subcutaneous","GTEX-ZDYS-2126-SM-5S2OD.1",109955.614891848
"Adipose - Subcutaneous","GTEX-1212Z-2426-SM-5EQ5D.1",411212.217030297
"Adipose - Subcutaneous","GTEX-XMD2-0226-SM-4WWEE.1",374193.397275995
